This text file contains information necessary for chandra to bin the pixels appropriately for image.fits 
pixel_x pixel_y bin 
0 0 0 
0 1 0 
1 0 0 
1 1 0 
0 1 1 
1 1 1 
0 0 1 
0 2 1 
0 2 2 
0 3 2 
0 3 3 
1 3 3 
0 4 4 
0 5 4 
1 4 4 
0 5 5 
0 6 5 
0 6 6 
1 6 6 
0 7 6 
0 7 7 
0 6 7 
0 8 8 
1 8 8 
0 9 9 
1 9 9 
0 10 9 
0 10 10 
0 11 10 
0 11 11 
0 10 11 
0 12 12 
0 13 12 
0 13 13 
1 13 13 
0 14 14 
1 14 14 
0 15 15 
1 15 15 
0 16 16 
0 17 16 
0 15 16 
0 17 17 
0 18 17 
0 16 17 
0 18 18 
0 19 18 
0 17 18 
1 18 18 
0 19 19 
1 19 19 
0 18 19 
0 20 19 
1 20 19 
1 18 19 
0 20 20 
0 19 20 
1 20 20 
1 19 20 
2 20 20 
0 18 20 
1 0 21 
1 1 21 
0 0 21 
1 1 22 
2 1 22 
1 0 22 
1 2 23 
1 1 23 
1 3 23 
1 3 24 
1 4 24 
0 3 24 
1 4 25 
0 4 25 
2 4 25 
1 5 26 
0 5 26 
1 6 27 
0 6 27 
1 5 27 
1 7 28 
2 7 28 
1 8 29 
0 8 29 
1 9 30 
1 8 30 
1 10 31 
2 10 31 
1 11 32 
0 11 32 
1 12 32 
1 12 33 
1 13 33 
1 13 34 
2 13 34 
1 14 35 
1 15 35 
1 15 36 
1 16 36 
1 16 37 
0 16 37 
1 15 37 
1 17 38 
1 18 38 
1 18 39 
0 18 39 
1 19 39 
1 19 40 
0 19 40 
1 20 40 
2 19 40 
1 20 41 
2 20 41 
0 20 41 
1 19 41 
2 19 41 
2 0 42 
3 0 42 
1 0 42 
2 1 43 
1 1 43 
3 1 43 
2 2 44 
3 2 44 
1 2 44 
2 3 45 
2 4 45 
2 4 46 
1 4 46 
2 5 47 
3 5 47 
2 6 48 
2 5 48 
2 7 49 
2 6 49 
2 8 50 
2 9 50 
2 9 51 
2 8 51 
2 10 52 
2 9 52 
2 11 53 
2 12 53 
2 12 54 
2 11 54 
2 13 55 
1 13 55 
2 14 56 
1 14 56 
2 13 56 
2 15 57 
3 15 57 
1 15 57 
2 16 58 
3 16 58 
2 15 58 
2 17 59 
3 17 59 
2 18 60 
2 19 60 
1 18 60 
2 19 61 
1 19 61 
3 19 61 
2 20 62 
3 20 62 
1 20 62 
2 19 62 
3 19 62 
3 0 63 
4 0 63 
2 0 63 
3 1 64 
3 0 64 
3 2 65 
3 1 65 
4 2 65 
3 3 66 
2 3 66 
3 4 67 
4 4 67 
3 5 68 
3 6 68 
2 5 68 
3 6 69 
3 5 69 
4 6 69 
3 7 70 
2 7 70 
3 8 70 
3 8 71 
4 8 71 
3 9 72 
3 10 72 
3 10 73 
4 10 73 
3 11 74 
2 11 74 
3 12 75 
3 13 75 
3 13 76 
3 12 76 
3 14 77 
3 15 77 
3 13 77 
3 15 78 
4 15 78 
3 16 78 
3 16 79 
3 17 79 
3 17 80 
4 17 80 
3 18 81 
3 17 81 
3 19 82 
3 18 82 
4 19 82 
3 20 83 
4 20 83 
2 20 83 
3 19 83 
4 19 83 
4 0 84 
5 0 84 
3 0 84 
4 1 85 
4 0 85 
5 1 85 
4 2 86 
4 3 86 
4 3 87 
4 2 87 
4 4 88 
4 5 88 
4 5 89 
5 5 89 
4 4 89 
4 6 90 
4 7 90 
4 7 91 
5 7 91 
4 8 92 
4 9 92 
4 7 92 
4 9 93 
4 8 93 
5 9 93 
4 10 94 
3 10 94 
4 11 95 
5 11 95 
4 12 96 
4 11 96 
4 13 97 
3 13 97 
5 13 97 
4 14 98 
3 14 98 
4 15 99 
4 14 99 
4 16 100 
4 15 100 
4 17 101 
3 17 101 
4 18 102 
4 19 102 
4 19 103 
4 20 103 
5 19 103 
4 20 104 
3 20 104 
5 20 104 
4 19 104 
3 19 104 
5 0 105 
5 1 105 
5 1 106 
4 1 106 
5 2 107 
6 2 107 
5 3 108 
4 3 108 
5 2 108 
5 4 109 
4 4 109 
5 5 110 
4 5 110 
5 6 110 
5 6 111 
6 6 111 
5 7 112 
5 6 112 
5 8 113 
5 7 113 
6 8 113 
5 9 114 
6 9 114 
5 10 115 
5 11 115 
5 11 116 
5 12 116 
5 12 117 
6 12 117 
5 13 118 
5 12 118 
5 14 119 
4 14 119 
5 15 120 
5 14 120 
5 16 121 
5 15 121 
4 16 121 
5 17 122 
5 16 122 
6 17 122 
5 18 123 
6 18 123 
4 18 123 
5 19 124 
5 20 124 
6 19 124 
5 20 125 
4 20 125 
6 20 125 
5 19 125 
6 19 125 
6 0 126 
7 0 126 
6 1 126 
6 1 127 
5 1 127 
6 2 128 
7 2 128 
6 3 129 
5 3 129 
6 4 129 
6 4 130 
5 4 130 
6 5 131 
5 5 131 
6 6 132 
6 7 132 
6 7 133 
5 7 133 
6 8 134 
6 7 134 
7 8 134 
6 9 135 
7 9 135 
6 10 135 
6 10 136 
6 9 136 
7 10 136 
6 11 137 
6 10 137 
7 11 137 
5 11 137 
6 12 138 
6 13 138 
6 13 139 
6 12 139 
6 14 140 
5 14 140 
6 15 141 
6 14 141 
6 16 142 
6 17 142 
5 16 142 
6 17 143 
6 16 143 
7 17 143 
6 18 144 
6 19 144 
7 18 144 
6 19 145 
6 18 145 
6 20 145 
5 19 145 
6 20 146 
7 20 146 
5 20 146 
6 19 146 
5 19 146 
7 0 147 
7 1 147 
8 0 147 
7 1 148 
8 1 148 
7 2 148 
7 2 149 
6 2 149 
7 3 150 
7 4 150 
7 4 151 
7 5 151 
6 4 151 
7 5 152 
6 5 152 
7 6 153 
7 5 153 
8 6 153 
7 7 154 
8 7 154 
7 8 155 
7 7 155 
7 9 156 
7 10 156 
6 9 156 
7 10 157 
8 10 157 
7 9 157 
7 11 158 
7 12 158 
7 10 158 
7 12 159 
7 13 159 
6 12 159 
7 13 160 
8 13 160 
6 13 160 
7 14 161 
7 15 161 
6 14 161 
7 15 162 
7 14 162 
8 15 162 
7 16 163 
6 16 163 
7 15 163 
7 17 164 
8 17 164 
7 18 165 
8 18 165 
6 18 165 
7 19 166 
7 18 166 
8 19 166 
7 20 167 
7 19 167 
8 20 167 
6 20 167 
8 0 168 
8 1 168 
7 0 168 
8 1 169 
7 1 169 
8 2 169 
8 2 170 
8 1 170 
8 3 171 
7 3 171 
8 4 172 
7 4 172 
8 5 172 
8 5 173 
7 5 173 
9 5 173 
8 6 174 
8 7 174 
8 7 175 
7 7 175 
8 8 176 
8 9 176 
7 8 176 
8 9 177 
9 9 177 
7 9 177 
8 10 178 
8 9 178 
8 11 178 
9 10 178 
8 11 179 
9 11 179 
8 12 179 
8 10 179 
8 12 180 
9 12 180 
8 13 180 
7 12 180 
8 13 181 
7 13 181 
8 14 181 
8 12 181 
8 14 182 
9 14 182 
8 13 182 
8 15 183 
9 15 183 
7 15 183 
8 16 184 
8 15 184 
9 16 184 
7 16 184 
8 17 185 
8 18 185 
7 17 185 
8 18 186 
8 19 186 
7 18 186 
8 19 187 
7 19 187 
8 20 188 
8 19 188 
7 20 188 
9 20 188 
9 19 188 
9 0 189 
10 0 189 
8 0 189 
9 1 190 
8 1 190 
10 1 190 
9 2 191 
8 2 191 
9 1 191 
9 3 192 
9 2 192 
10 3 192 
9 4 193 
9 3 193 
10 4 193 
9 5 194 
9 6 194 
9 6 195 
9 7 195 
9 7 196 
10 7 196 
