This text file contains information necessary for chandra to bin the pixels appropriately for image.fits 
pixel_x pixel_y bin 
0 0 0
0 1 1
0 2 2
0 3 3
0 4 4
0 5 5
0 6 6
0 7 7
0 8 8
0 9 9
0 10 10
0 11 11
0 12 12
0 13 13
0 14 14
0 15 15
0 16 16
0 17 17
0 18 18
0 19 19
0 20 20
1 0 21
1 1 22
1 2 23
1 3 24
1 4 25
1 5 26
1 6 27
1 7 28
1 8 29
1 9 30
1 10 31
1 11 32
1 12 33
1 13 34
1 14 35
1 15 36
1 16 37
1 17 38
1 18 39
1 19 40
1 20 41
2 0 42
2 1 43
2 2 44
2 3 45
2 4 46
2 5 47
2 6 48
2 7 49
2 8 50
2 9 51
2 10 52
2 11 53
2 12 54
2 13 55
2 14 56
2 15 57
2 16 58
2 17 59
2 18 60
2 19 61
2 20 62
3 0 63
3 1 64
3 2 65
3 3 66
3 4 67
3 5 68
3 6 69
3 7 70
3 8 71
3 9 72
3 10 73
3 11 74
3 12 75
3 13 76
3 14 77
3 15 78
3 16 79
3 17 80
3 18 81
3 19 82
3 20 83
4 0 84
4 1 85
4 2 86
4 3 87
4 4 88
4 5 89
4 6 90
4 7 91
4 8 92
4 9 93
4 10 94
4 11 95
4 12 96
4 13 97
4 14 98
4 15 99
4 16 100
4 17 101
4 18 102
4 19 103
4 20 104
5 0 105
5 1 106
5 2 107
5 3 108
5 4 109
5 5 110
5 6 111
5 7 112
5 8 113
5 9 114
5 10 115
5 11 116
5 12 117
5 13 118
5 14 119
5 15 120
5 16 121
5 17 122
5 18 123
5 19 124
5 20 125
6 0 126
6 1 127
6 2 128
6 3 129
6 4 130
6 5 131
6 6 132
6 7 133
6 8 134
6 9 135
6 10 136
6 11 137
6 12 138
6 13 139
6 14 140
6 15 141
6 16 142
6 17 143
6 18 144
6 19 145
6 20 146
7 0 147
7 1 148
7 2 149
7 3 150
7 4 151
7 5 152
7 6 153
7 7 154
7 8 155
7 9 156
7 10 157
7 11 158
7 12 159
7 13 160
7 14 161
7 15 162
7 16 163
7 17 164
7 18 165
7 19 166
7 20 167
8 0 168
8 1 169
8 2 170
8 3 171
8 4 172
8 5 173
8 6 174
8 7 175
8 8 176
8 9 177
8 10 178
8 11 179
8 12 180
8 13 181
8 14 182
8 15 183
8 16 184
8 17 185
8 18 186
8 19 187
8 20 188
9 0 189
9 1 190
9 2 191
9 3 192
9 4 193
9 5 194
9 6 195
9 7 196
9 8 197
9 9 198
9 10 199
9 11 200
9 12 201
9 13 202
9 14 203
9 15 204
9 16 205
9 17 206
9 18 207
9 19 208
9 20 209
10 0 210
10 1 211
10 2 212
10 3 213
10 4 214
10 5 215
10 6 216
10 7 217
10 8 218
10 9 219
10 10 220
10 11 221
10 12 222
10 13 223
10 14 224
10 15 225
10 16 226
10 17 227
10 18 228
10 19 229
10 20 230
11 0 231
11 1 232
11 2 233
11 3 234
11 4 235
11 5 236
11 6 237
11 7 238
11 8 239
11 9 240
11 10 241
11 11 242
11 12 243
11 13 244
11 14 245
11 15 246
11 16 247
11 17 248
11 18 249
11 19 250
11 20 251
12 0 252
12 1 253
12 2 254
12 3 255
12 4 256
12 5 257
12 6 258
12 7 259
12 8 260
12 9 261
12 10 262
12 11 263
12 12 264
12 13 265
12 14 266
12 15 267
12 16 268
12 17 269
12 18 270
12 19 271
12 20 272
13 0 273
13 1 274
13 2 275
13 3 276
13 4 277
13 5 278
13 6 279
13 7 280
13 8 281
13 9 282
13 10 283
13 11 284
13 12 285
13 13 286
13 14 287
13 15 288
13 16 289
13 17 290
13 18 291
13 19 292
13 20 293
14 0 294
14 1 295
14 2 296
14 3 297
14 4 298
14 5 299
14 6 300
14 7 301
14 8 302
14 9 303
14 10 304
14 11 305
14 12 306
14 13 307
14 14 308
14 15 309
14 16 310
14 17 311
14 18 312
14 19 313
14 20 314
15 0 315
15 1 316
15 2 317
15 3 318
15 4 319
15 5 320
15 6 321
15 7 322
15 8 323
15 9 324
15 10 325
15 11 326
15 12 327
15 13 328
15 14 329
15 15 330
15 16 331
15 17 332
15 18 333
15 19 334
15 20 335
16 0 336
16 1 337
16 2 338
16 3 339
16 4 340
16 5 341
16 6 342
16 7 343
16 8 344
16 9 345
16 10 346
16 11 347
16 12 348
16 13 349
16 14 350
16 15 351
16 16 352
16 17 353
16 18 354
16 19 355
16 20 356
17 0 357
17 1 358
17 2 359
17 3 360
17 4 361
17 5 362
17 6 363
17 7 364
17 8 365
17 9 366
17 10 367
17 11 368
17 12 369
17 13 370
17 14 371
17 15 372
17 16 373
17 17 374
17 18 375
17 19 376
17 20 377
18 0 378
18 1 379
18 2 380
18 3 381
18 4 382
18 5 383
18 6 384
18 7 385
18 8 386
18 9 387
18 10 388
18 11 389
18 12 390
18 13 391
18 14 392
18 15 393
18 16 394
18 17 395
18 18 396
18 19 397
18 20 398
19 0 399
19 1 400
19 2 401
19 3 402
19 4 403
19 5 404
19 6 405
19 7 406
19 8 407
19 9 408
19 10 409
19 11 410
19 12 411
19 13 412
19 14 413
19 15 414
19 16 415
19 17 416
19 18 417
19 19 418
19 20 419
20 0 420
20 1 421
20 2 422
20 3 423
20 4 424
20 5 425
20 6 426
20 7 427
20 8 428
20 9 429
20 10 430
20 11 431
20 12 432
20 13 433
20 14 434
20 15 435
20 16 436
20 17 437
20 18 438
20 19 439
20 20 440
